City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Adrar,MR,20.5022,-10.0711,83.17,24,84,11.86,broken clouds
316,Mayumba,GA,-3.432,10.6554,76.78,90,99,14.36,overcast clouds
317,Skibbereen,IE,51.55,-9.2667,42.6,66,84,15.1,broken clouds
318,Prince Rupert,CA,54.3161,-130.3201,46.09,74,90,26.46,light rain
319,Broome,US,42.2506,-75.833,29.17,74,90,11.5,overcast clouds
320,Ubinskoye,RU,55.3068,79.6802,20.82,92,100,20.0,light snow
321,Arkhangelsk,RU,64.5401,40.5433,-2.09,84,20,0.0,few clouds
322,San Juan De Uraba,CO,8.7592,-76.5297,84.34,67,36,3.2,scattered clouds
323,Miandrivazo,MG,-19.5167,45.4667,82.18,53,0,14.12,clear sky
324,Deputatskiy,RU,69.3,139.9,-14.28,82,100,2.35,overcast clouds
325,Avarua,CK,-21.2078,-159.775,78.85,89,75,5.75,light rain
326,Shaunavon,CA,49.6501,-108.4181,29.98,74,100,3.74,overcast clouds
327,Berlevag,NO,70.8578,29.0864,17.55,53,56,18.41,broken clouds
328,Mandla,IN,22.6,80.3833,61.48,41,95,4.18,overcast clouds
329,Kollo,NE,13.3043,2.339,96.62,9,53,10.78,broken clouds
330,Padang,ID,-0.9492,100.3543,77.05,74,90,2.33,overcast clouds
331,Camabatela,AO,-8.1881,15.375,67.82,83,100,0.94,overcast clouds
332,Adiake,CI,5.2863,-3.304,85.59,66,52,7.67,broken clouds
333,Sheridan,US,44.8333,-106.9173,42.98,65,1,0.0,clear sky
334,Ancud,CL,-41.8697,-73.8203,58.53,55,7,10.71,clear sky
335,Lahijan,IR,37.2061,50.0029,55.18,85,11,2.77,few clouds
336,Kasongo-Lunda,CD,-6.4667,16.8167,76.33,92,42,1.5,light rain
337,Pitea,SE,65.3172,21.4794,8.69,79,93,2.39,overcast clouds
338,Turochak,RU,52.2576,87.1224,20.52,83,100,2.66,overcast clouds
339,Millinocket,US,45.6573,-68.7098,28.51,80,90,11.5,light snow
340,Shingu,JP,33.7333,135.9833,41.67,75,0,5.77,clear sky
341,Yantai,CN,37.5333,121.4,43.21,67,18,8.16,few clouds
